carrier,carrier_name,rate_version,source,area,area_label,age_band,age_min,age_max,product_code,product_name,annual_premium,source_value_raw,currency
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,60-64,60,64,premium,Morgan Price Premium,10685.11,10685.106389162287,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,60-64,60,64,elite,Morgan Price Elite,15397.34,15397.336726369402,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,65-69,65,69,standard,Morgan Price Standard,5096.8,5096.8033758962365,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,65-69,65,69,standard_plus,Morgan Price Standard Plus,6275.2,6275.20217551991,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,65-69,65,69,comprehensive,Morgan Price Comprehensive,11498.45,11498.451536182281,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,65-69,65,69,premium,Morgan Price Premium,14344.67,14344.673435773111,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,65-69,65,69,elite,Morgan Price Elite,20475.42,20475.42467556877,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,70-74,70,74,standard,Morgan Price Standard,6563.52,6563.5244483394445,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,70-74,70,74,standard_plus,Morgan Price Standard Plus,8023.48,8023.477304534635,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,70-74,70,74,comprehensive,Morgan Price Comprehensive,14519.58,14519.581344613445,EUR
