carrier,carrier_name,rate_version,residence_country,area,age_min,age_max,product_code,product_name,annual_premium,currency,rate_note
april,APRIL International,april_2025_current,Greece,area2,35,39,exec_nxs,APRIL Executive NXS,15803,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,35,39,exec_plus,APRIL Executive Plus,17848,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,35,39,exec_plus_nxs,APRIL Executive Plus NXS,19900,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,40,44,international,APRIL International,6750,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,40,44,intl_plus,APRIL International Plus,9621,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,40,44,intl_plus_nxs,APRIL International Plus NXS,10876,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,40,44,executive,APRIL Executive,15508,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,40,44,exec_nxs,APRIL Executive NXS,17293,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,40,44,exec_plus,APRIL Executive Plus,19763,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,40,44,exec_plus_nxs,APRIL Executive Plus NXS,21723,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,45,49,international,APRIL International,7753,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,45,49,intl_plus,APRIL International Plus,11046,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,45,49,intl_plus_nxs,APRIL International Plus NXS,12315,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,45,49,executive,APRIL Executive,17807,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,45,49,exec_nxs,APRIL Executive NXS,19855,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,45,49,exec_plus,APRIL Executive Plus,22651,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,45,49,exec_plus_nxs,APRIL Executive Plus NXS,24712,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,50,54,international,APRIL International,9987,EUR,Temporary current dataset; replace when new APRIL rates arrive.
